전/월세,보증금,월세,공급면적,전용면적,층,남향
1,27300,0,35,29,5,0
0,10000,10,23,16,3,0
1,15000,0,37,23,8,0
1,35000,0,39,39,5,0
1,33000,0,30,25,6,0
0,20000,25,29,25,4,0
1,24000,0,29,25,4,0
1,30000,0,35,29,5,1
1,7500,0,26,20,5,1
1,20000,0,42,37,4,0
1,20000,0,29,25,4,0
0,2000,60,26,20,5,0
0,1000,63,26,26,3,0
0,3000,55,49,36,2,0
1,18500,0,39,29,3,0
0,1000,60,35,20,5,0
1,35400,0,39,29,6,0
1,27300,0,35,29,5,1
1,33000,0,40,29,6,1
1,33000,0,30,25,6,0
1,32500,0,27,23,6,0
0,1000,40,42,39,3,0
1,27300,0,35,29,5,1
1,17850,0,29,24,3,0
0,17850,35,33,23,5,0
1,18000,0,37,32,4,1
0,1000,60,37,27,5,0
1,22950,0,33,23,5,0
1,28000,0,37,29,6,0
1,22950,0,33,23,5,0
1,25000,0,21,18,5,0
1,22000,0,40,36,2,1
1,13650,0,56,45,3,0
1,33000,0,30,25,6,0
0,16000,10,41,18,12,0
1,7500,0,21,21,4,0
0,2000,60,20,20,5,0
1,13000,0,14,14,3,0
0,5000,50,40,38,3,0
1,15000,0,50,23,8,0
0,10000,10,23,16,3,0
1,28500,0,33,28,4,1
1,27300,0,35,29,5,0
1,33000,0,31,26,6,0
1,39000,0,38,28,6,0
1,9000,0,25,18,2,0
1,35000,0,30,25,6,0
1,17850,0,29,24,2,0
0,1000,40,35,35,3,0
1,33000,0,30,25,6,0
1,37000,0,67,45,4,1
1,37000,0,65,49,5,0
0,0,25,24,24,3,0
0,10000,10,23,16,3,0
0,1000,65,39,29,4,0
0,10000,10,23,16,3,0
0,1000,65,36,33,2,1
1,15000,0,41,37,2,1
1,31000,0,32,26,6,1
1,39000,0,43,28,6,1
0,1000,40,40,40,2,0
1,22950,0,33,23,5,0
1,39000,0,38,28,6,0
0,1000,75,33,30,3,0
0,0,30,15,10,2,0
1,25800,0,46,20,6,0
1,33000,0,30,25,6,0
0,3000,60,107,40,2,1
1,34000,0,124,26,6,0
1,39000,0,38,28,6,1
1,18000,0,43,39,4,0
0,0,25,18,18,3,0
1,22000,0,64,47,3,1
0,10000,25,33,33,3,0
1,28500,0,33,28,4,1
1,25000,0,21,18,5,1
0,0,42,23,13,5,0
1,22950,0,33,23,5,0
1,20000,0,24,20,4,1
1,27300,0,35,29,5,0
1,39000,0,38,28,6,0
1,37000,0,63,45,5,0
1,28000,0,37,29,6,0
1,39000,0,39,28,6,0
0,1000,42,14,14,5,0
1,28000,0,31,29,5,0
1,25000,0,59,18,5,0
1,33000,0,59,25,6,0
1,16000,0,29,17,9,0
1,29200,0,49,29,4,1
1,17850,0,25,24,2,1
1,27000,0,21,18,5,0
1,34000,0,34,25,6,0
1,32500,0,34,23,6,0
1,39000,0,31,27,6,0
1,39000,0,40,28,6,0
0,20000,25,29,25,4,0
0,20000,20,29,25,4,1
1,31000,0,32,26,6,1
1,27300,0,39,33,6,1
1,34200,0,31,26,6,0
1,30000,0,35,29,5,1
1,38000,0,37,27,5,1
1,20000,0,24,20,4,1
0,17850,25,33,23,5,0
1,25000,0,29,25,4,0
1,24000,0,29,25,4,1
0,15000,25,24,20,4,1
1,19000,0,36,29,2,0
1,30000,0,35,29,5,0
1,23000,0,45,37,2,0
1,30000,0,35,29,5,1
1,30000,0,35,29,5,0
1,22950,0,33,23,5,0
1,27300,0,35,29,5,0
1,15000,0,20,19,2,0
1,17850,0,33,23,5,0
1,27300,0,42,29,5,0
0,22950,10,23,23,3,0
1,12000,0,21,16,3,0
0,1000,64,29,29,3,0
0,5000,15,21,16,3,1
1,30000,0,66,29,5,0
1,13650,0,38,35,3,0
1,28500,0,33,28,4,0
0,1000,50,38,38,2,0
1,36500,0,29,29,5,0
1,28500,0,33,28,4,0
1,12000,0,71,15,3,0
1,16000,0,29,17,9,0
0,1000,53,25,18,4,0
0,1000,55,36,26,3,0
0,5000,120,66,39,15,0
1,35000,0,39,29,6,0
1,28000,0,37,29,6,0
1,27300,0,35,29,5,1
1,39000,0,38,28,6,0
1,20000,0,39,35,2,1
1,35000,0,30,25,6,0
1,20000,0,35,35,2,0
1,28000,0,35,28,5,0
1,27000,0,35,29,6,0
1,16000,0,50,17,9,0
1,28000,0,35,28,5,0
1,35000,0,39,29,6,1
1,38000,0,35,29,6,0
0,0,30,29,26,1,0
0,12000,45,42,42,3,0
1,33000,0,38,29,6,0
0,1000,40,69,34,2,0
1,16000,0,50,17,9,0
1,13000,0,14,14,3,0
1,17850,0,33,23,5,0
0,16000,10,41,18,12,0
0,1000,40,40,40,2,0
1,35500,0,51,29,4,0
