price,spec1,spec2
"2억 7,300","35/29m², 2/5층, 북동향",HUG 안심대출 90프로 한도가능 준신축 투룸 전세
1억/10,"23/16m², 중/3층, 남동향","마포구청,가좌 역세권 준신축급 대출가능 전세 깔끔한 원룸"
"1억 5,000","37/23m², 7/8층, 남동향",성산동 넓은 원룸 중기청80
"3억 5,000","39/39m², 3/5층, 남동향","신축급2룸, 보증보험, 대출가능, 마포구청역 도보7분, 빠른 입주가능"
"3억 3,000","30/25m², 6/6층, 남서향",
2억/25,"29/25m², 2/4층, 동향",중기청가능 신축 첫입주 풀옵션 투룸
"2억 4,000","29/25m², 3/4층, 동향",마포구청역 역세권 신축 첫입주 풀옵션 투룸
3억,"35/29m², 3/5층, 남향",교통편하고 주차가능한 풀옵션 투룸 전세
"7,500","26/20m², B1/5층, 남향",마포구청역 도보10분 풀옵션 원룸
2억,"42/37m², 2/4층, 북동향",안심가능 전용 넓은 투룸
2억,"29/25m², 2/4층, 동향",중기청가능 신축 첫입주 풀옵션 1.5룸
"2,000/60","26/20m², 2/5층, 남동향",마포구청역 도보10분 신축급 풀옵션 원룸
"1,000/63","26/26m², 1/3층, 남동향",추천 전용 넓은 분리형원룸 지상층
"3,000/55","49/36m², 1/2층, 동향",
"1억 8,500","39/29m², 2/3층, 남동향",역세권 지상2충 방2개거실겸주방채광좋고깨끗함
"1,000/60","35/20m², 4/5층, 남서향","O빠른입주O 엘리베이터, 4층, 풀옵션"
"3억 5,400","39/29m², 3/6층, 서향",21년식. 풀옵션투룸. 전세대출가능.
"2억 7,300","35/29m², 중/5층, 남향",안심전세90 보증보험 가능 성산동 가장저렴한 풀옵션 2룸
"3억 3,000","40/29m², 5/6층, 남향",O신축급O2룸l화장실1 l 인테리어완벽 l 빠른입주
"3억 3,000","30/25m², 6/6층, 남동향",마포구청역 역세권 신축 테라스 1.5룸
"3억 2,500","27/23m², 3/6층, 남동향",전세반환보증보험 100프로 가입가능
"1,000/40","42/39m², B1/3층, 동향",역세권 방2개거실겸주방화1 채광좋은편
"2억 7,300","35/29m², 2/5층, 남향",2019년산 내부상태 깔끔한 투룸 전세
"1억 7,850","29/24m², 3/3층, 북향",성산동 깨끗한2룸 풀옵션 안심대출가능 보증보험 가능
"1억 7,850/35","33/23m², 3/5층, 남동향",중기청 공시안심 90프로대출 보증보험 주차 가능한 1.5룸
"1억 8,000","37/32m², 고/4층, 남향",역세권 남향 깔끔한투룸 전세대출OK 입주협의
"1,000/60","37/27m², 4/5층, 북서향",마포구청역 도보 9분 풀옵션 원룸
"2억 2,950","33/23m², 2/5층, 남동향",공시안심 보증보험 임대사업자 완벽한 1.5룸 전세
"2억 8,000","37/29m², 6/6층, 동향",막힘없음 신축급 큰 2룸전세 예쁜신혼부부 컨디션 대박
"2억 2,950","33/23m², 2/5층, 남동향",마포구청역 역세권 신축급 깔끔한 1.5룸
"2억 5,000","21/18m², 고/5층, 북동향",성산동 신축급 2룸
